"ResponseID","word1","word2","word3","word4","word5","word6","word7","word8","word9","word10","word11","word12","word13","word14","word15","word16","word17","word18","word19","word20"
"R_eV4TPXgJAah66JD","judgement","based","togetherness","patronism","jurious","","","","","","","","","","","","","","",""
"R_0TAfBP26lnUEMAJ","freedom","choice","America","people","voices","liberty","","","","","","","","","","","","","",""
"R_3mI6EwiGtKuKixf","freedom","justice","liberty","create","challenge","demo","demonstrate","council","city","dark","wide","","","","","","","","",""
"R_4YKOTsm8cdEQCih","Equality","Having a voice","Everyone voting","Lack of censorship","A government of the people","Freedom","Politicians vote on what the people want","Various political parties","","","","","","","","","","","",""
"R_3VpceaPKzxLgOmp","USA","vote","the people ","fair","modern","","","","","","","","","","","","","","",""
"R_799LhHBL72kAKLb","people","government","power","elections","representatives","freedom","","","","","","","","","","","","","",""
"R_5je7kA5CGDZfWi9","freedom","choice","voting","everyone","capitalism","","","","","","","","","","","","","","",""
"R_agdiryJNtpxzsOx","ruined","untrue","novel","pride","safe","","","","","","","","","","","","","","",""
"R_bmGRkeUeJjVKdW5","equality","fair","just","order","balancing","opportunity","checks","structure","","","","","","","","","","","",""
"R_9n80eoriVWCYjPv","freedom","liberty","freedom religion","constitution","free elections","equal representation ","legal justice","","","","","","","","","","","","",""
"R_ePURGh5UujgeWUt","Freedom","Voting","Elections","Change","Liberty","Politics","Parties","Funding","Rights","Laws","constitution","Government","President","Congress","Senate","House of Representatives","Veto","Bill","Amendments","People"
"R_81dHAiCA6DaRp5j","fair","just","economic freedom","right to vote","we pick our leaders","free country","checks and balances","","","","","","","","","","","","",""
"R_3Xkf8TjiDz5xIc5","freedom","freewill","president","elections","vote","democrat ","","","","","","","","","","","","","",""
"R_eKhTrF1kShE0cxT","freedom","meritocracy ","elected","rule by the people","elected representatives ","checks and balances","","","","","","","","","","","","","",""
"R_88hQl1ubBPgz2sJ","Freedom","Choice","Liberty","Liberal","Opportunity","Voting","Politicians","Debt","Progress","Revolution","Growth","","","","","","","","",""
